File name;[Exam] Version;[IDStudent] IDNo001;[IDStudent] IDNo002;[IDStudent] IDNo003;[IDStudent] IDNo004;[IDStudent] IDNo005;[IDStudent] IDNo006;[IDStudent] IDNo007;[Question1to20] Q01;[Question1to20] Q02;[Question1to20] Q03;[Question1to20] Q04;[Question1to20] Q05;[Question1to20] Q06;[Question1to20] Q07;[Question1to20] Q08;[Question1to20] Q09;[Question1to20] Q10;[Question1to20] Q11;[Question1to20] Q12;[Question1to20] Q13;[Question1to20] Q14;[Question1to20] Q15;[Question1to20] Q16;[Question1to20] Q17;[Question1to20] Q18;[Question1to20] Q19;[Question1to20] Q20;[Question21to40] Q21;[Question21to40] Q22;[Question21to40] Q23;[Question21to40] Q24;[Question21to40] Q25;[Question21to40] Q26;[Question21to40] Q27;[Question21to40] Q28;[Question21to40] Q29;[Question21to40] Q30;[Question21to40] Q31;[Question21to40] Q32;[Question21to40] Q33;[Question21to40] Q34;[Question21to40] Q35;[Question21to40] Q36;[Question21to40] Q37;[Question21to40] Q38;[Question21to40] Q39;[Question21to40] Q40
exam_001;A;1;0;4;0;6;2;5;C;B;D;B;B;A;D;A;D;B;A;C;B;A;D;A;B;D;D;D;C;B;D;B;C;;;;;;;;;;;;;;;
exam_002;A;1;0;4;9;7;9;6;D;A;B;C;B;A;A;A;A;A;C;D;A;A;D;A;C;D;D;D;A;C;A;B;A;;;;;;;;;;;;;;;
exam_003;A;1;0;1;7;5;7;8;D;B;B;C;B;A;A;A;A;A;C;C;A;A;D;A;B;C;C;B;C;B;D;B;C;;;;;;;;;;;;;;;
exam_004;A;1;0;4;7;9;2;0;D;B;B;C;B;B;D;A;A;B;A;C;D;A;D;C;A;D;B;D;D;B;C;D;C;;;;;;;;;;;;;;;
exam_005;A;1;0;4;7;7;7;1;C;A;B;C;B;A;C;A;C;B;C;B;A;A;D;A;C;C;B;D;C;C;C;B;C;;;;;;;;;;;;;;;
exam_006;A;1;0;1;5;0;2;8;C;A;D;C;A;B;A;A;B;A;C;A;B;A;B;A;B;C;B;D;D;C;C;B;D;;;;;;;;;;;;;;;
exam_007;A;1;0;4;4;7;5;9;D;B;C;C;B;C;A;A;A;B;D;A;A;A;B;A;C;A;B;D;C;B;C;B;B;;;;;;;;;;;;;;;
exam_008;A;1;0;3;4;9;1;5;C;A;D;C;B;B;A;D;A;A;C;A;A;D;B;A;C;D;D;D;A;B;C;C;A;;;;;;;;;;;;;;;
exam_009;A;1;0;2;5;9;5;6;D;A;B;C;D;C;B;A;C;B;C;A;A;A;D;A;A;C;B;D;A;B;C;B;B;;;;;;;;;;;;;;;
exam_010;A;1;0;1;5;1;4;5;A;B;B;B;B;C;A;A;D;B;C;A;C;A;D;A;B;D;C;D;A;C;D;B;C;;;;;;;;;;;;;;;
exam_011;A;1;0;4;7;6;6;9;D;B;B;C;B;A;A;A;A;A;D;D;A;A;D;C;C;C;B;D;C;B;C;B;C;;;;;;;;;;;;;;;
exam_012;A;1;0;4;9;5;1;0;D;A;B;C;B;A;A;D;A;B;B;A;C;A;D;C;B;D;C;D;A;C;C;B;B;;;;;;;;;;;;;;;
exam_013;A;1;0;1;1;1;4;3;D;A;B;C;B;A;D;A;C;B;C;A;A;A;D;A;A;C;B;D;D;B;C;B;C;;;;;;;;;;;;;;;
